1,Iceland,Sorelle Amore,Entertainment
2,Bahamas,Crypto Beadles,Tech
3,Cyprus,TumkaGames / Тумка:3,Gaming
4,Mozambique,Arte e Vida,Entertainment
5,Tanzania,Young Tubers,Kids
6,Libya,King GTA,Gaming
7,Ethiopia,Amharic Cooking,How To
8,Botswana,Shree craft place,How To
9,Nauru,JerseySurvivor,Entertainment
10,Tonga,TasteoftheSouthPacific,How To
11,Japan,はじめしゃちょー（hajime）,Entertainment
12,Vietnam,NTN Vlogs,Entertainment
13,Sweden,Narins Beauty,Beauty & Style
14,Serbia,Life Hacks & Experiments,How To
15,"Micronesia, Federated States of",dxd101,Entertainment
16,Jamaica,Yanrique,Gaming
17,Guyana,Pro Marathi,Tech
18,Palestine,Fozi Mozi,Kids
19,Italy,Marzia,Entertainment
20,Algeria,Oum Walid,How To
21,Timor Leste,king_vieira OFFICIAL,Music
22,Iraq,قناة منوعات الكوميدية العراقيه,People & Blogs
23,Azerbaijan,Resul Abbasov Official,Entertainment
24,Montenegro,AdnanBro,Gaming
25,Seychelles,Rosa Gruner,Gaming
26,Guinea-Bissau,Editing ki Dukan,How To
27,Romania,Be Inspired,Education
28,Nigeria,MarkAngelComedy,Comedy
29,Panama,Mimonona Stories,Kids
30,Laos,Bigyai Seehalad,Entertainment
31,Barbados,Brilliant News,Entertainment
32,Bhutan,Cigano Ramires,People & Blogs
33,United States,Like Nastya,Kids
34,Belize,ngashigi kangleipak,People & Blogs
35,Djibouti,Eman Lotfi,Entertainment
36,Cuba,Lifeples,Entertainment
37,Brunei,Bernardo Werneck,Entertainment
38,San Marino,BlackJack997,Autos
39,Mongolia,Mesmerism Official,Comedy
40,Finland,TheRelaxingEnd,Gaming
41,Andorra,Tri-line,Entertainment
42,Uruguay,Dosogas,Entertainment
43,Egypt,Ahmed Hassan Family,Entertainment
44,Singapore,মায়াজাল,Entertainment
45,New Zealand,Rainbow Learning,Kids
46,Georgia,Guka Family Show,Kids
47,Kuwait,AboFlah,Gaming
48,Portugal,SirKazzio,Entertainment
49,Austria,Fabio Wibmer,Sports
50,Saint Vincent and the Grenadines,The Motivator 2,Sports
51,Madagascar,Philippe MARRONE,Sports
52,Solomon Islands,Caroline Elizabeth,Entertainment
53,Ghana,RakGhana,Comedy
54,Malawi,Dj Àmit Áligarh,Music
55,Mexico,Badabun,Entertainment
56,Benin,Ma Chaîne,How To
57,Chile,HolaSoyGerman,Entertainment
58,Israel,Jamal alimwase ـ جمال العمواسي,Nature
59,Wales,Ben Phillips,Entertainment
60,Malaysia,PlataBush,Gaming
61,Bangladesh,Farjana Drawing Academy,How To
62,Poland,Blowek,Entertainment
63,Morocco,YassPlays,Gaming
64,Slovenia,TimKo Kid,Kids
65,Venezuela,KeiferMC,Gaming
66,Dominican Republic,ElFlacoWTF,Entertainment
67,Belgium,Akosi Dogie,Entertainment
68,Sudan,المنهج السلفي بالسودان,People & Blogs
69,Brazil,whinderssonnunes,Comedy
70,Somalia,Balanbaalis Studio,Music
71,Namibia,Namiban gospel music,Entertainment
72,Burkina Faso,Jackson Oliveira,Entertainment
73,Spain,elrubiusOMG,Entertainment
74,Sierra Leone,BlackPearl,How To
75,El Salvador,Fernanfloo,Gaming
76,Zimbabwe,King Gryph,Gaming
77,Saint Kitts and Nevis,Dr.Mungli,Education
78,Kenya,Henry DeSagu,Entertainment
79,Togo,Fortnite Fantasy,Gaming
80,Tuvalu,GuruKidHD,Gaming
81,Turkmenistan,Ned Tocino,Entertainment
82,Macau,籽岷,Gaming
83,Guinea,Faits - Divers GUINEE,News
84,Denmark,SYBO TV,Gaming
85,Tunisia,Born2Kill,Gaming
86,Bahrain,عمر فاروق Omar Farooq,Entertainment
87,Albania,Co Vines,Entertainment
88,Pakistan,Kitchen with Amna,How To
89,Palau,Ananda Kelly,How To
90,Taiwan,TGOP (This Group Of People),Entertainment
91,Jordan,Rozzah,Entertainment
92,Estonia,Life of Boris,Entertainment
93,Switzerland,LE GRAND JD,Entertainment
94,Cameroon,BYSNESS Comédie Club,Comedy
95,Saint Lucia,The Dating Guru,How To
96,Liechtenstein,caracol3000,News
97,North Korea,Making ASMR,How To
98,Sao Tome and Principe,Anrita Melchizedek,Education
99,Canada,VanossGaming,Gaming
100,Trinidad and Tobago,Certified sampson,Comedy
101,Ireland (Republic of),jacksepticeye,Gaming
102,Indonesia,Atta Halilintar,Entertainment
